Codigo,Medicamento,Accion Terapeutica,Laboratorio
M0000007412,AMBATCOL,Analgésico, Antiinflamatorio no esteroide,GRUINFACOL
M0000007413,AMBIGRAM,Antibacteriano,BUSSIE
M0000007414,AMBROXOL,Mucolítico, Expectorante,GENFAR
M0000007415,AMBROXOL MK,Mucolítico,MK
M0000007416,AMDIPIN,Antihipertensivo, Antianginoso,ABBOTT
M0000007417,AMDIPIN H,Antihipertensivo,ABBOTT
M0000007418,AMEROTADINA,Antihistamínico selectivo H1,AMERICA
M0000007419,AMEROXICAM,Analgésico, Antiinflamatorio no esteroide,AMERICA
M0000007420,AMEZOLIN,Antihelmíntico,GRUINFACOL
M0000007421,AMIBIOL,Amebicida, Giardicida,ETYC
M0000007422,AMIKACINA,Antibiótico Aminoglucósido infeccioso-Antibacterial,RECIPE
M0000007423,AMIKACINA,Aminoglucósido, Antibiótico de amplio espectro,GENFAR
M0000007424,AMIKACINA,Antibiótico bactericida del grupo de los aminoglucósidos que actúa fundamentalmente sobre bacterias gramnegativas,CARLON
M0000007425,AMIKOZOL,Antimicótico cutáneo,VITALIS
M0000007426,AMINOACIDOS CRISTALINOS 10% PISA,Nutrición parenteral,PISA
M0000007427,AMINOFEN,Analgésico, Antipirético,GRUINFACOL
M0000007428,AMINOFER,Antiasmático,AMERICA
M0000007429,AMINOFILINA,Broncodilatador,NOVARTIS
M0000007430,AMINOFILINA,Broncodilatador,BLASKOV
M0000007431,AMIODARONA CLORHIDRATO,Antiarrítmico cardíaco,CARLON
M0000007432,AMIODARONA CLORHIDRATO,Antiarrítmico,GENFAR
M0000007433,AMIODARONA LA SANTE,Antiarrítmico,LA SANTE
M0000007434,AMIODARONA MK,Antiarrítmico de clase III,MK
M0000007435,AMIORIT,Antiarrítmico,ABBOTT
M0000007436,AMITRIPTILINA,Antidepresivo,RECIPE
M0000007437,AMITRIPTILINA,Antidepresivo,GENFAR
M0000007438,AMITRIPTILINA LA SANTE,Antidepresivo,LA SANTE
M0000007439,AMITRIPTILINA MK,Antidepresivo, inhibidor no selectivo de la recaptación de monoaminas,MK
M0000007440,AMK (AMIKACINA) PISA,Tratamiento para infecciones producidas por gérmenes sensibles a la Amikacina,PISA
M0000007441,AMLODIPINO,Antihipertensivo,RECIPE
M0000007442,AMLODIPINO,Antihipertensivo,LABINCO
M0000007443,AMLODIPINO,Antianginoso, Antihipertensivo,GENFAR
M0000007444,AMLODIPINO ECAR,Antianginoso, Antihipertensivo,ECAR
M0000007445,AMLODIPINO LA SANTE,Antihipertensivo,LA SANTE
M0000007446,AMLODIPINO MK,Calcioantagonista,MK
M0000007447,AMLOSYN,Antianginoso, antihipertensivo,ABBOTT
M0000007448,AMLOSYN-H,Antihipertensivo,ABBOTT
M0000007449,AMLOTENS,Antianginoso, Antihipertensivo,APOTECARIUM
M0000007450,AMOFEN,Analgésico, Antipirético,AMERICA
M0000007451,AMOXAL,Antibiótico,GLAXOSMITHKLINE
M0000007452,AMOXIBAY,Antibiótico,BAYER
M0000007453,AMOXICILINA,Antibiótico, Bactericida de amplio espectro,GENFAR
M0000007454,AMOXICILINA,Antibiótico bactericida de amplio espectro,BEST
M0000007455,AMOXICILINA LA SANTE,Antibiótico de amplio espectro,LA SANTE
M0000007456,AMOXICILINA MK,Antibiótico de uso sistémico, Betalactámicos de amplio espectro,MK
M0000007457,AMOXIGA,Antibiótico de amplio espectro,GALENO QUIMICA
M0000007458,AMOXIPEN,Antibacteriano,GRUINFACOL
M0000007459,AMPICILINA,Antibiótico de amplio espectro,GENFAR
M0000007460,AMPICILINA + SULBACTAM,Antibiótico,RECIPE
M0000007461,AMPICILINA + SULBACTAM,Antibiótico,BLASKOV
M0000007462,AMPICILINA LA SANTE,Antibiótico de amplio espectro,LA SANTE
M0000007463,AMPICILINA MK,Antibiótico de uso sistémico, Betalactámicos de amplio espectro,MK
M0000007464,AMPIDELT,Antibiótico,DELTA
M0000007465,AMPREX,Antibiótico de amplio espectro,GARMISCH
M0000007466,AMVAL,Antihipertensivo,ABBOTT
M0000007467,ANAFRANIL / ANAFRANIL RETARD,Antidepresivo,NOVARTIS
M0000007468,ANALON GALENO,Antihelmíntico de amplio espectro,GALENO QUIMICA
M0000007469,ANALPER,Analgésico, Antipirético,LA SANTE
M0000007470,ANALPER 1%,Antiinflamatorio tópico (externo),LA SANTE
M0000007471,ANALPER CAF,Analgésico, Antipirético,LA SANTE
M0000007472,ANALPER NAX,Analgésico, Antipirético,LA SANTE
M0000007473,ANALPER PLUS,Analgésico, Antiespasmódico,LA SANTE
M0000007474,ANCEF,Inhibidores de la Proteasa,LEGRAND
M0000007475,ANDROCUR 100,Antiandrógeno oral,BHC - BAYER
M0000007476,ANDROCUR 50,Antiandrógeno oral,BHC - BAYER
M0000007477,ANDROGEL,Andrógeno de depósito,BIOPAS
M0000007478,ANEMIDOX,Antianémico,MERCK S.A.
M0000007479,ANESKET (KETAMINA) PISA,Inductor de la anestesia y anestésico para procedimientos diagnósticos o quirúrgicos de corta duración,PISA
M0000007480,ANEXIA,Antiinflamatorios y antirreumáticos, no esteroideos, coxibs,TECNOQUIMICAS
M0000007481,ANFOTERICINA B,Antifúngico, Antiprotozoo,SICMAFARMA
M0000007482,ANGELIQ,Terapia de reemplazo hormonal,BHC - BAYER
M0000007483,ANGIFAL,Antibiótico,GRUINFACOL
M0000007484,ANGIOVAN,Coadyuvante en el alivio sintomático de la claudicación intermitente,TECNOQUIMICAS
M0000007485,ANSILAN CAPSULAS,Antidepresivo,GRÜNENTHAL
M0000007486,ANTALGINE,Analgésico, antipirético,SIEGFRIED
M0000007487,ANTI-TEMPO OJOS 55+,Antiedad Botox - Like,BUSSIE
M0000007488,ANTI-TEMPO ROSTRO 40+,Retrasa los efectos del envejecimiento prematuro,BUSSIE
M0000007489,ANTI-TEMPO ROSTRO 55+,Rejuvenece y repara el ADN celular,BUSSIE
M0000007490,ANTIACNE CREMA,Antiacneico,AMERICA
M0000007491,ANTIALGINA,Preparado antimigrañoso,MK
M0000007492,ANTINIME,Antiespasmódico, Regulador de la motilidad gastrointestinal,APOTECARIUM
M0000007493,ANTISS - ANTISS INSTANTAB,Antialérgico,ABBOTT
M0000007494,ANTISS-D,Antialérgico, Descongestivo,ABBOTT
M0000007495,APETIFORT,,NATURAL FRESHLY
M0000007496,APETINAT,Estimulante natural del apetito,PRONABELL
M0000007497,API-CELL,Suplemento dietario a base de Spirulina, enriquecido con vitaminas y minerales,PRONABELL
M0000007498,APIDRA,Agente antidiabético, Grupo farmacoterapéutico: insulina y análogos de acción rápida,SANOFI AVENTIS
M0000007499,APOTOX,Hepatoprotector,INCOBRA
M0000007500,APRACAL,Neuroléptico,SIEGFRIED
M0000007501,APRIX,Analgésico, Antipirético,NOVAMED
M0000007502,APROLAC,Alivio de los síntomas de la menopausia,GARMISCH
M0000007503,APROVEL,Antihipertensivo,SANOFI AVENTIS
M0000007504,AQUAPRECIS,Hidratación precisa y duradera adaptada a las necesidades de la piel, Biopelícula protectora, verdadero escudo antipolución, Textura oil free que penetra rápidamente sin dejar sensación de grasa en la superficie de la piel, Poder matificante,MEDIVELIUS
M0000007505,AQUASOL B6,Vitamínico,PROCAPS
M0000007506,AQUASOL E,Antioxidante, Vitamínico,PROCAPS
M0000007507,AQUASOL E 800,Vitamínico, Antioxidante,PROCAPS
M0000007508,ARALOX,Antihipertensivo,DATA PHARM.
M0000007509,ARALOX H,Antihipertensivo, Diurético,DATA PHARM.
M0000007510,ARAMAX,Antihipertensivo,GARMISCH
M0000007511,ARANDA,Antihipertensivo, Vasodilatador,FARMA COLOMBIA
M0000007512,ARANDUL,Nutracéutico antiséptico de vías urinarias,ASHER PHARMA
M0000007513,ARAPRES,Antihipertensivo,APOTECARIUM
M0000007514,ARAVA,Antirreumático, inmunomodulador,SANOFI AVENTIS
M0000007515,ARCALION 200,Fatiga crónica,BIOPAS
M0000007516,ARCOXIA,Artritis reumatoidea,MSD
M0000007517,ARIPRAX,Antipsicótico,GARMISCH
M0000007518,ARIPRAZOL,Antipsicótico,BUSSIE
M0000007519,ARLETTE 28,Anticonceptivo oral,ABBOTT
M0000007520,ARMOL 70,Antiosteoporótico,RECIPE
M0000007521,ARNICA MONTANA,Medicamento homeopático simple,ABBOTT
M0000007522,ARNICA MONTANA 3D,Ayuda en todo tipo de dolor e inflamación,MINERALIN
M0000007523,ARNIGEL,Medicamento homeopático simple,ABBOTT
M0000007524,AROMASIN,Antineoplásico,PFIZER
M0000007525,ARTOSAN 50MG,Coadyuvante en el manejo de la osteoartritis,NEVOX FARMA
M0000007526,ARTRICLOX,Antiinflamatorio,GARMISCH
M0000007527,ARTRICLOX INYECTABLE,Antiinflamatorio,GARMISCH
M0000007528,ARTRIDENE,Analgésico, antiinflamatorio, no esteroide,SIEGFRIED
M0000007529,ARTRITES,Analgésico, antiinflamatorio, no esteroide,SIEGFRIED
M0000007530,ARTRIXIN GEL,Rubefaciente, Contrairritante,CARIBE
M0000007531,ARTRODAR,Otros productos para el sistema musculoesquelético,NOVAMED
M0000007532,ARTROFITUM,Antiartrósico,EUROETIKA
M0000007533,ARZOMEBA (IMIPENEM Y CILASTATINA) PISA,Alternativa en el manejo de infecciones localizadas o sistémicas severas o mixtas, producidas por gérmenes sensibles al Imipenem,PISA
M0000007534,ASA MK,Analgésico, antipirético,MK
M0000007535,ASAWIN,Analgésico, antipirético, antiinflamatorio, antiagregante plaquetario,SANOFI AVENTIS
M0000007536,ASMONT,Tratamiento crónico del asma,BUSSIE
M0000007537,ASPROMIO,Broncodilatador,CHALVER
M0000007538,ASTALIN HFA INHALADOR,Broncodilatador,BIOTOSCANA
M0000007539,ASTONIN H,Corticosteroide sistémico,MERCK S.A.
M0000007540,ASUN PROTECTOR SOLAR,Protector solar,LUGOVA
M0000007541,ATAPOL,Conjuntivitis alérgica,BLASKOV
M0000007542,ATAZANAVIR HUMAX,Antirretroviral contra el HIV,HUMAX
M0000007543,ATELIT,Antiagregante plaquetario,ABBOTT
M0000007544,ATEMPERATOR,Antiepiléptico - Tratamiento de la Manía Aguda - Episodios mixtos asociados al Trastorno Afectivo Bipolar - Profilaxis de Episodios de Migraña,BAGO
M0000007545,ATENOLOL,Antianginoso, Antiarrítmico, Antihipertensivo,GENFAR
M0000007546,ATENOLOL MK,Agente b-bloqueador selectivo,MK
M0000007547,ATEPLAX,Antiagregante plaquetario,PROCAPS
M0000007548,ATHEN,Expectorante, Mucolítico,NEVOX FARMA
M0000007549,ATIVAN TABLETAS,Ansiolítico benzodiazepínico,PFIZER
M0000007550,ATORLIP,Hipocolesterolemiante,ABBOTT
M0000007551,ATORVASTATINA,Hipolipemiante,GENFAR
M0000007552,ATORVASTATINA,Hipolipemiante,BLASKOV
M0000007553,ATORVASTATINA,Hipolipemiante,RECIPE
M0000007554,ATORVASTATINA ECAR,Antihiperlipidémico,ECAR
M0000007555,ATORVASTATINA LA SANTE,Hipolipemiante,LA SANTE
M0000007556,ATORVASTATINA MK,Hipolipemiante, Inhibidor de la HMG CoA reductasa,MK
M0000007557,ATOVAROL CBG,Normolipemiante sintético,PROCAPS
M0000007558,ATRETIN,Retinoide sistémico; tratamiento del acné,ABBOTT
M0000007559,ATROPINA SULFATO,Antiespasmódico, Antídoto en intoxicaciones por pesticidas colinérgicos,SICMAFARMA
M0000007560,ATROPINA SULFATO ECAR,Anticolinérgico,ECAR
M0000007561,ATROVENT,Broncodilatador, Anticolinérgico,BOEH.INGEL.
M0000007562,ATTENTHO,Tratamiento del trastorno por déficit de atención con hiperactividad,ABBOTT
M0000007563,AVADEN,Asociación hormonal bifásica para el tratamiento del síndrome climatérico y la prevención de la osteoporosis,BHC - BAYER
M0000007564,AVAMYS,Corticosteroide tópico,GLAXOSMITHKLINE
M0000007565,AVASTIN,Antineoplásico,ROCHE
M0000007566,AVAXIM 160U,Vacuna inactivada contra la hepatitis A,SANOFI-PASTEUR
M0000007567,AVAXIM 80U,Vacuna inactivada contra la hepatitis A,SANOFI-PASTEUR
M0000007568,AVELOX,Antibacteriano,BHC - BAYER
M0000007569,AVODART,Tratamiento de hiperplasia prostática benigna,GLAXOSMITHKLINE
M0000007570,AXO,Coadyuvante en el manejo de las dislipoproteinemias,BUSSIE
M0000007571,AXTAR IM,Cefalosporina de tercera generación,GRUPO UNIPHARM
M0000007572,AZACTAM,Antibacteriano,MERCK S.A.
M0000007573,AZARGA,Antiglaucomatoso,ALCON
M0000007574,AZIBAY,Antibiótico,BHC - BAYER
M0000007575,AZITROMICINA,Antibiótico de amplio espectro,GENFAR
M0000007576,AZITROMICINA LA SANTE,Antibiótico macrólido,LA SANTE
M0000007577,AZITROMICINA MK,Antibiótico para uso sistémico, Macrólido,MK
M0000007578,AZOMAX,Antibiótico macrólido,GRUPO UNIPHARM
M0000007579,AZOPT,Inhibidor de la anhidrasa carbónica tópica oftálmica, antiglaucoma,ALCON
M0000007580,B-CORT AEROSOL,Tratamiento profiláctico del asma bronquial,GRÜNENTHAL
M0000007581,B-VIT,Antineurítico,PROCAPS
M0000007582,B-VIT H.T.,Antineurítico,PROCAPS
M0000007583,B-VIT PLUS,Antineurítico,PROCAPS
M0000007584,BABYTYOL,Tratamiento y prevención de pañalitis y quemaduras,ABBOTT
M0000007585,BACK PAIN,Analgésico tópico,INCOBRA
M0000007586,BACTEROL,Antibacteriano tipo fluoroquinolona,NOVAMED
M0000007587,BACTESUL,Antibiótico de amplio espectro,TECNOQUIMICAS
M0000007588,BACTRIM,Bactericida de amplio espectro,ROCHE
M0000007589,BACTRIM / BACTRIM-F,Bactericida de amplio espectro,ROCHE
M0000007590,BACTRODERM,Microbicida de amplio espectro, Antiséptico,ECAR
M0000007591,BAFLOX,Antibiótico quinolónico,GALENO QUIMICA
M0000007592,BAJAPRES INHALADOR,Broncodilatador,APOTECARIUM
M0000007593,BALZAC,Antiácido, coadyuvante en el manejo del reflujo gastroesofágico,NEVOX FARMA
M0000007594,BARIEDERM CREMA,Emulsión A/O-manos, rostro, cuerpo,MEDIVELIUS
M0000007595,BARIEDERM LABIOS,Dermatocosmético,MEDIVELIUS
M0000007596,BARIEDERM UNGÜENTO,Dermatocosmético,MEDIVELIUS
M0000007597,BASALOG,Agente antidiabético,SICMAFARMA
M0000007598,BATEN,Antimicótico,BUSSIE
M0000007599,BAYCUTEN-N,Antiinflamatorio, Antimicótico, Antibacteriano,BHC - BAYER
M0000007600,BAYDOL,Analgésico, Antiinflamatorio, Antipirético,BHC - BAYER
M0000007601,BAYPRESS,Antihipertensivo,BHC - BAYER
M0000007602,BAYRO,Analgésico, Antiinflamatorio,BHC - BAYER
M0000007603,BAYRO IM,Antiinflamatorio no esteroide, Antiflogístico, Analgésico,BHC - BAYER
M0000007604,BECLAZONE,Antihipertensivo, terapéutico coronario,NOVAMED
M0000007605,BECLOMETASONA MK-BECLOMETASONA MK FORTE,Corticosteroide inhalado,MK
M0000007606,BEDOYECTA,Antineurítico,FARMA COLOMBIA
M0000007607,BELARA,Anticonceptivo oral,GRÜNENTHAL
M0000007608,BELARINA,Anticonceptivo oral,GRÜNENTHAL
M0000007609,BELLAFACE,Anticonceptivo hormonal,ABBOTT
M0000007610,BEN-GAY,Rubefaciente,SANOFI AVENTIS
M0000007611,BENCALCY KIDS,Complemento alimenticio,APOTECARIUM
M0000007612,BENEFIX,Factor IX recombinante de coagulación,PFIZER
M0000007613,BENLIC,Antiinflamatorio, Antimicótico,PROFMA
M0000007614,BENNE,Bactericida, Giardicida,LABINCO
M0000007615,BENZIRIN FORTE,Antiinflamatorio, anestésico, antiséptico tópico,TECNOQUIMICAS
M0000007616,BENZIRIN ROSA,Antiinflamatorio, antiséptico, anestésico tópico vaginal,TECNOQUIMICAS
M0000007617,BENZIRIN ROSA DUCHA,Antiinflamatorio, antiséptico, anestésico tópico vaginal,TECNOQUIMICAS
M0000007618,BENZIRIN VERDE,Antiinflamatorio, anestésico, antiséptico tópico,TECNOQUIMICAS
M0000007619,BENZOATO DE BENCILO MK,Ectoparasiticida,MK
